ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     0.0.1             12.58     17/05/2021    5860      8C562D6FF22ADE7791E74BF63718649C
2     0.1.0             13.12     17/05/2021    5938      6AF2B0D3A969C00FBE37B7F1208BB3B4
3     0.1.1             12.02     17/05/2021    5659      F2F30E6FF1B106821B1C19E82E4572A0
4     1.0.0             13.19     17/05/2021    5659      F965A34FFD57111998E9DD2BDBAC4F1D
5     1.0.0-1           11.71     17/05/2021    5659      6BE9CC22A22BE326CCD08F060F6D9C38
6     1.0.1             9.314     25/05/2021    5662      7E83316087CABD93FAC401A8DC79C5A2
7     1.0.1-1           9.019     26/05/2021    5656      B46C1CE20BBCC8FE1E35F5C411B7D5B2
8     1.0.1-2           9.147     26/05/2021    5655      89DE7A5D8F9B7493A02846C5EC939BB0
9     1.1.0             8.438     01/06/2021    5397      26AD55D2C2ABAE04CDA59354B08D111B
10    1.1.0-1           8.346     01/06/2021    5371      CE8D37A226527A1731EF9053413F97D5
11    1.1.0-2           9.496     01/06/2021    5362      E0B1B212791E0812FF0976DD095DA9BC
12    1.1.0-3           8.444     01/06/2021    5364      B5260F3072142D2684211178FF8B6CA6
13    1.1.0-4           9.069     01/06/2021    5364      D798CE91D4B3709896957F12B45032E9
14    1.1.0-5           9.613     01/06/2021    5451      B13114C17068077356913681BA57EDC1
15    1.1.1             9.851     15/06/2021    5449      3BA4D1D6FFCAE5133ADAB1FEE8091EBD
16    1.1.1-1           10.01     15/06/2021    5449      9D05D92367FF94E6C00F78AB8C402480
17    1.1.1-2           9.624     15/06/2021    5448      7CF13805500DCA23BBC14D00F88595BB
18    1.1.1-3           10.02     15/06/2021    5448      2E3532AFCB5AA1C9D54D5A084EDD3FDF
19    1.1.2             16.12     20/06/2021    5447      5B91D7A170FA7ADBF4B6C0E17B52F7AF
20    1.1.2-1           17.63     20/06/2021    5447      AA99F4D2A8CCA11CA8A6FFE26F58FE32
21    1.1.2-2           16.47     20/06/2021    5447      7FE6CDD2E0EA6026A2F220A03BA3B2D2
22    1.1.3             11.06     21/06/2021    5456      0576B0967423FFD1CBB2D998350861C8
23    1.1.3-1           11.11     21/06/2021    5456      BD67F73C2EC4D2E5C94B2D16981045FC
24    1.1.4             11.51     22/06/2021    5698      4379A0B7ADE35B0C6851D63E5BA304A5
25    1.1.4-1           12.05     22/06/2021    5698      6DC28546231F100BE2402DD389AE2637
26    1.1.4-2           12.72     22/06/2021    5720      26CD25B0240752F394856D880351AFEA
27    1.1.4-3           12.21     22/06/2021    5720      CB963F27AD4A810C5A6DBEACDF43B48D
28    1.1.4-4           12.07     22/06/2021    5721      FDBFCB8B6B79ABCF38004E38AC1669DA
29    1.1.4-5           11.71     22/06/2021    5721      484483CFEE9AD65C05C7D370CD319927
30    1.1.4-6           11.21     22/06/2021    5721      E96C58AAE6DD741D873B3DEF0811C2EC
31    1.1.4-7           11.63     23/06/2021    5751      7B17F2F90C29F6B2EBEE3BB01C03D5EF
32    1.1.5             11.94     23/06/2021    5769      6F635902DA173039D51933E5A91C08B5
33    1.1.5-1           12.32     23/06/2021    5769      9463700CF621C240B0BE554C071E9B63
34    1.1.6             9.746     24/06/2021    5762      60794A3AA9DB15FDC762CE85DE772252
35    1.1.6-1           9.129     24/06/2021    5762      DDBC0EC426866812CD52729174485F2F
36    1.1.7             12.51     25/06/2021    5770      231D707CB900BF39B756B971CE016996
37    1.1.7-1           11.54     25/06/2021    5771      56D8FFB2B0EAE344CC2ACE6B5B18ECB5
38    1.1.7-2           13.21     25/06/2021    5777      05F3BFB7D0645F7A3405F72775BDF656
39    1.1.7-3           12.23     25/06/2021    5777      C6A2645F773B1B1BC90A04DB0BAA3D23
40    1.1.7-4           32.88     25/06/2021    5777      072F6C30C0223F26715F2E1DCBF84392
41    1.1.7-5           11.68     25/06/2021    5777      0AB4BE73F6EBC52583C16D284F787AAB
42    1.1.8             10.23     09/07/2021    5702      1AE3D2D802DEDCDC31B8A56E0690B231
43    1.1.8-1           9.516     09/07/2021    5700      ED3985C3A31CC58FB591D6B9FBA13EE2
44    1.1.9             8.826     11/07/2021    5741      B3A17E387123C121B5BB8EC409CDC1ED
45    1.1.9-1           8.378     11/07/2021    5731      28F08F2E7D3326A9E6B820F87D3D6152
46    1.2.0             8.440     12/07/2021    5745      26B1CE6EECC38290168086F1F7CFC1CA
47    1.2.1             9.300     17/07/2021    5749      DD64373F4EA1EB38ECDDA06F60023A80
48    1.2.1-1           9.217     17/07/2021    5749      6FC6EE5DA0391209E8C4FA21D78DE613
49    1.2.2             9.022     18/07/2021    5969      BF197D9D0E58EA60B89F0F4C3A807B53
50    1.2.3             9.288     21/07/2021    6003      5BA5A984C427A8FD9D5BEC10A800B04E
51    1.2.3-1           9.012     21/07/2021    6003      726CE2303A9D1528BDDF98D59F2D66C0
52    1.2.3-2           9.241     21/07/2021    6003      DBA153F5F49A3E955C986E2C284B33D1
53    1.2.4             9.327     27/07/2021    6033      33E018D1B9F8CBF79774336371ED6697
54    1.2.4-1           9.042     27/07/2021    6033      1309DBAE6588EC189780A38E9630CF9D
55    1.2.5             9.219     27/07/2021    6109      3E082B50D5AE8FB023F273BDCC788CA8
56    1.2.5-1           9.388     27/07/2021    6116      E51BE673CBBF1582C1E54D37621B3556
57    1.2.5-2           9.078     27/07/2021    6116      D3C97B2DA93438C32205772DB47CB413
58    1.2.5-3           9.415     27/07/2021    6116      5B7B38F5D725C61723604B2B0B8783DE
59    1.2.5-4           9.850     27/07/2021    6116      5F248B277CFDEF6BE22A3E5BD311ABC6
60    1.2.6             5.351     08/08/2021    6282      3AEADE50206BC9B211602FA9C9EF9F16
61    1.2.7             7.154     17/08/2021    6309      90F05EFB8FE356019211D6A8056F20F5
62    1.2.8             6.621     21/08/2021    6331      7E66F6049580B418D27A62BED51927D8
63    1.2.8-1           6.491     21/08/2021    6342      AEB905409051BE6329AFE7CEC96D1C18
64    1.2.8-2           6.667     21/08/2021    6342      B6397810E2E68BA7D77C626BEB075CF2
65    1.2.9             6.832     24/08/2021    6326      EF280E0240E466563C629B61FF094404
