ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     0.0.1             1.840     22/09/2017    450       F163819E06D48955774DA552125903ED
2     0.0.2             4.497     06/09/2021    7233      9A896394C31E8C765A466B3278F947C4
3     0.0.3             4.230     06/09/2021    7233      0E3F4E1E4C3BF9BB77FB7449C22EB923
4     0.9.0             5.377     06/09/2021    7234      21FCA12523F1850B8FD6AA46F598FA3E
5     0.9.0-1           2.262     21/09/2021    6528      0396F69340F138D55C5FB0B0E12834A6
6     0.9.0-2           2.019     26/09/2021    6531      CD8018FA5F31D282AFA551394F0028DD
7     0.9.0-3           2.019     27/09/2021    6523      79AF4CAD7CF0A7C8C14D380AFB5138AE
8     0.9.0-4           2.073     02/10/2021    6506      DEF11CF8383556D9DD365C156E132635
9     0.9.0-5           1.977     02/10/2021    6506      2A6CDEF6F6D329FC88B6AAB372C6CCA4
10    0.9.0-6           2.020     06/10/2021    6526      BC988BDFB696D5C4E3B32BFBB67FCC64
11    0.9.0-7           1.972     06/10/2021    6562      38E7F06784383121BEC188259DA9DE79
12    0.9.0-8           2.118     08/10/2021    6564      F6E8E6A2D32286AAD3FA3F914B62B243
13    0.9.0-9           2.260     13/10/2021    6805      D8C72F9E2C49ED1A0B9C859DDE83E264
14    0.9.1             2.073     13/10/2021    6805      13BBD0DD32E1F01539CBE0B12EC7EEB6
15    0.9.1-1           2.463     25/10/2021    6812      03CB5443C83DB03E7D137BE650CD28A7
16    0.9.1-2           2.281     25/10/2021    6812      F07A3A3EBD266D2D51307F5C97A5D18A
17    0.9.1-3           2.224     25/10/2021    6812      847AB0DCD95BE71A776952802A89EAE6
18    0.9.2             2.216     25/10/2021    6812      586AD95BBAE30727608DDB3F49D00F79
19    0.9.2-1           2.020     26/10/2021    6815      68A7AB9597CD014284CF948937D28CB1
